,Rank,Year,Movie,WorldwideBox Office,DomesticBox Office,InternationalBox Office
395,399,1988,Who Framed Roger Rabbit?,351500000,154112492,197387508
396,400,2012,Dr. Seussâ The Lorax,350976753,214030500,136946253
397,402,1998,Deep Impact,349464664,140464664,209000000
398,403,2011,Alvin and the Chipmunks: Chipwrecked,349088523,133107389,215981134
399,404,2016,The Legend of Tarzan,348902025,126643061,222258964
400,405,2018,Mary Poppins Returns,348901032,171958438,176942594
401,406,2004,"I, Robot",348629585,144801023,203828562
402,407,2013,The Smurfs 2,348547523,71017784,277529739
403,408,2014,The Maze Runner,348319861,102427862,245891999
404,409,2001,Rush Hour 2,347425832,226164286,121261546
405,410,1995,Pocahontas,347100000,141579773,205520227
406,411,2018,Peter Rabbit,346727372,115234093,231493279
407,412,2000,How the Grinch Stole Christmas,345445403,260348825,85096578
408,413,2017,xXx: Return of Xander Cage,345033359,44898413,300134946
409,414,2006,Over the Hedge,343397247,155019340,188377907
410,415,2016,Trolls,343242613,153707064,189535549
411,416,2013,Now You See Me,342769200,117723989,225045211
412,417,2008,Wanted,342416460,134508551,207907909
413,418,1977,Close Encounters of the Third Kind,340800479,169100479,171700000
414,419,2007,Enchanted,340384141,127706877,212677264
415,420,1997,Tomorrow Never Dies,339504276,125304276,214200000
416,421,1995,Batman Forever,336529144,184031112,152498032
417,422,2010,Prince of Persia: Sands of Time,336359676,90759676,245600000
418,423,1996,The Rock,336069511,134069511,202000000
419,424,1995,Apollo 13,335802271,173772767,162029504
420,425,2016,Star Trek Beyond,335673708,158848340,176825368
421,426,2018,A Quiet Place,334876670,188024361,146852309
422,427,2017,Never Say Die,334536622,nan,334536622
423,428,2016,The Great Wall,334486852,45157105,289329747
424,429,2015,The Good Dinosaur,333771037,123087120,210683917
425,430,2005,Fantastic Four,333132750,154696080,178436670
426,431,1984,Indiana Jones and the Temple of Doom,333080271,179880271,153200000
427,432,1989,Back to the Future Part II,331971881,118450002,213521879
428,433,2014,22 Jump Street,331333876,191719337,139614539
429,434,2004,National Treasure,331323410,173005002,158318408
430,435,2010,Black Swan,331266710,106954678,224312032
431,436,2014,300: Rise of an Empire,330780051,106580051,224200000
432,437,2000,Meet the Parents,330425040,166225040,164200000
433,438,2008,The Curious Case of Benjamin Button,329631958,127509326,202122632
434,439,2000,The Perfect Storm,328711434,182618434,146093000
435,440,2016,Now You See Me 2,328325007,65075540,263249467
436,441,1986,Crocodile Dundee,328203506,174803506,153400000
437,442,1995,Se7en,328125643,100125643,228000000
438,443,2008,Bolt,328015029,114053579,213961450
439,444,2015,Taken 3,327656424,89256424,238400000
440,445,2019,Feng Kuang De Wai Xing Ren,326150303,nan,326150303
441,446,2006,The Devil Wears Prada,326073155,124740460,201332695
442,447,2019,John Wick: Chapter 3 â Parabellum,325674995,171016727,154658268
